,회사명,거래소코드,회계년도,이자보상배율
0,(주)DB하이텍,990,11-Dec,-0.75
9,(주)HJ중공업,97230,11-Dec,0.55
18,(주)ST,11810,11-Dec,1.66
27,(주)TCC스틸,2710,11-Dec,1.41
36,(주)강스템바이오텍,217730,15-Dec,-5.41
41,(주)강원에너지,114190,11-Nov,393.9
50,(주)갤럭시아에스엠,11420,11-Dec,6.31
59,(주)골드앤에스,35290,11-Dec,1.13
68,(주)골드퍼시픽,38530,11-Dec,14.16
77,(주)광림,14200,11-Dec,4.55
86,(주)광무,29480,11-Dec,-3.01
95,(주)국보,1140,11-Dec,0.75
104,(주)국순당,43650,11-Dec,167.22
113,(주)기산텔레콤,35460,11-Dec,-3.73
122,(주)까뮤이앤씨,13700,11-Dec,-14.28
131,(주)나노,187790,14-Dec,11111111.11
137,(주)나노엔텍,39860,11-Dec,-12.31
146,(주)나이벡,138610,11-Dec,-3.91
155,(주)남성,4270,11-Dec,-0.06
164,(주)내츄럴엔도텍,168330,13-Dec,675.61
171,(주)네오리진,94860,11-Dec,1.61
180,(주)네이처셀,7390,11-Dec,-1.42
189,(주)네패스,33640,11-Dec,3.47
198,(주)넥스트엔터테인먼트월드,160550,14-Dec,13.68
204,(주)넥슨게임즈,225570,15-Dec,12.43
209,(주)넵튠,217270,15-Dec,-3.35
214,(주)노블엠앤비,106520,12-Dec,11.2
222,(주)녹십자엠에스,142280,14-Dec,9.68
228,(주)녹원씨엔아이,65560,11-Dec,2.99
237,(주)누리플랜,69140,11-Dec,5.57
246,(주)뉴로스,126870,12-Dec,5.1
254,(주)뉴인텍,12340,11-Dec,0.99
263,(주)다날,64260,11-Dec,-0.33
272,(주)다산네트웍스,39560,11-Dec,-1.06
281,(주)다이나믹디자인,145210,15-Dec,2.92
286,(주)대구백화점,6370,11-Mar,11111111.11
295,(주)대성엘텍,25440,11-Dec,-1.38
304,(주)대양금속,9190,11-Dec,-1.84
313,(주)대창,12800,11-Dec,1.4
322,(주)대창솔루션,96350,11-Dec,2.11
331,(주)대한항공,3490,11-Dec,0.81
340,(주)대호에이엘,69460,11-Dec,2.82
349,(주)대호특수강,21040,11-Dec,0.54
358,(주)더 미동,161570,13-Dec,449.88
365,(주)더블유아이,73570,11-Dec,0.05
374,(주)덴티스,261200,17-Dec,-2.33
377,(주)동방선기,99410,11-Dec,2.0
386,(주)동양,1520,11-Dec,-0.13
395,(주)동운아나텍,94170,15-Dec,41.32
400,(주)듀오백,73190,11-Dec,10.84
409,(주)드래곤플라이,30350,11-Dec,11111111.11
418,(주)드림어스컴퍼니,60570,11-Dec,-30.53
427,(주)디에스앤엘,141020,13-Dec,-20.8
434,(주)디엔에이링크,127120,11-Dec,3.27
443,(주)디엠에스,68790,11-Dec,0.83
452,(주)디지아이,43360,11-Dec,-4.28
461,(주)러셀,217500,15-Dec,-0.75
466,(주)레드로버,60300,11-Dec,10.36
475,(주)레이크머티리얼즈,281740,17-Dec,-4.74
478,(주)루멘스,38060,11-Dec,5.56
487,(주)루트로닉,85370,11-Dec,-2.06
496,(주)룽투코리아,60240,11-Dec,-18.61
505,(주)리더스코스메틱,16100,11-Dec,6.86
514,(주)리드,197210,15-Dec,5.84
519,(주)마니커,27740,11-Dec,0.58
528,(주)마이크로컨텍솔루션,98120,11-Dec,363.23
537,(주)매직마이크로,127160,15-Dec,-1.22
542,(주)메디콕스,54180,11-Jun,1.19
551,(주)메지온,140410,12-Dec,11111111.11
559,(주)메타랩스,90370,11-Dec,1.44
568,(주)멕아이씨에스,58110,15-Dec,-0.74
573,(주)멜파스,96640,11-Dec,37.14
582,(주)모베이스전자,12860,11-Dec,5.89
591,(주)모비스,250060,16-Dec,11111111.11
595,(주)모아텍,33200,11-Dec,13.79
603,(주)미래아이앤지,7120,11-Dec,3.14
612,(주)바른손,18700,11-Mar,-1.35
621,(주)바른손이앤에이,35620,11-Dec,7.6
630,(주)바른전자,64520,11-Dec,-7.08
639,(주)바이오니아,64550,11-Dec,-3.43
648,(주)바이오톡스텍,86040,11-Dec,7.02
657,(주)백금티앤에이,46310,11-Dec,0.32
666,(주)베노홀딩스,206400,14-Dec,-2043.63
672,(주)브이티지엠피,18290,11-Dec,-0.54
681,(주)블루베리엔에프티,44480,11-Dec,-26.11
690,(주)비덴트,121800,12-Jun,66.78
698,(주)비보존헬스케어,82800,11-Dec,-2.93
707,(주)비비안,2070,11-Dec,7.35
716,(주)비엔지티,32790,11-Dec,-3.65
725,(주)비엘,142760,16-Dec,-89.65
729,(주)비츠로시스,54220,11-Mar,4.16
738,(주)비케이홀딩스,50090,11-Dec,-0.76
747,(주)삼표시멘트,38500,11-Dec,-0.51
756,(주)상보,27580,11-Dec,3.65
765,(주)상상인인더스트리,101000,11-Dec,-11.5
774,(주)상지카일룸,42940,11-Dec,-3.08
783,(주)서부티엔디,6730,11-Dec,0.88
792,(주)서울리거,43710,11-Dec,11111111.11
801,(주)서울제약,18680,11-Dec,2.73
810,(주)서원,21050,11-Dec,0.95
819,(주)서진오토모티브,122690,11-Dec,11111111.11
828,(주)선앤엘,2820,11-Dec,2.31
837,(주)성안,11300,11-Dec,2.1
846,(주)세동,53060,11-Dec,0.6
855,(주)세원물산,24830,11-Dec,7.3
864,(주)세원정공,21820,11-Jun,44.1
873,(주)세토피아,222810,15-Dec,11111111.11
878,(주)센트럴인사이트,12600,11-Dec,-15.07
887,(주)셀루메드,49180,11-Dec,-5.37
896,(주)셀리버리,268600,18-Dec,-2.29
898,(주)셀바스에이아이,108860,11-Dec,7.36
907,(주)셀바스헬스케어,208370,14-Dec,6.17
913,(주)셀피글로벌,68940,11-Dec,20.86
922,(주)손오공,66910,11-Dec,1.07
931,(주)솔고바이오메디칼,43100,11-Dec,-2.22
940,(주)솔본,35610,11-Dec,0.01
949,(주)스카이문스테크놀로지,33790,11-Dec,-2052578.0
958,(주)스킨앤스킨,159910,12-Dec,83.42
966,(주)스튜디오산타클로스엔터테인먼트,204630,14-Dec,11111111.11
972,(주)시너지이노베이션,48870,11-Dec,-0.98
981,(주)시티랩스,139050,11-Dec,8.98
990,(주)신성이엔지,11930,11-Dec,-1.67
999,(주)쌍방울,102280,11-Dec,4.38
1008,(주)썸에이지,208640,14-Dec,-1.82
1014,(주)쎄니트,37760,11-Dec,-1.6
1023,(주)쎌마테라퓨틱스,15540,11-Dec,-6.83
1032,(주)씨씨에스충북방송,66790,11-Dec,0.71
1041,(주)씨아이테크,4920,11-Dec,-37.97
1050,(주)씨에스,65770,11-Dec,-1.31
1059,(주)씨에스에이코스믹,83660,11-Dec,-2.27
1068,(주)씨엔플러스,115530,11-Dec,31.87
1077,(주)씨티씨바이오,60590,11-Dec,0.27
1086,(주)아가방앤컴퍼니,13990,11-Dec,28.43
1095,(주)아난티,25980,11-Dec,-6.29
1104,(주)아리온테크놀로지,58220,11-Dec,21.5
1113,(주)아미노로직스,74430,11-Dec,-10.38
1122,(주)아센디오,12170,11-Dec,13.19
1131,(주)아스타,246720,17-Dec,-47.72
1134,(주)아이앤씨테크놀로지,52860,11-Dec,11111111.11
1143,(주)아이에스이커머스,69920,11-Dec,0.0
1152,(주)아이에이,38880,11-Dec,-9.2
1161,(주)아이엠,101390,11-Dec,4.97
1170,(주)아이오케이컴퍼니,78860,11-Dec,2.71
1179,(주)아이윈플러스,123010,16-Dec,0.06
1183,(주)아이컴포넌트,59100,11-Dec,1.11
1192,(주)아이톡시,52770,11-Dec,-4.31
1201,(주)아이티엑스에이아이,99520,11-Dec,-0.6
1210,(주)알로이스,297570,18-Dec,-1.6
1212,(주)알에프세미,96610,11-Dec,20.01
1221,(주)알테오젠,196170,14-Dec,7.41
1227,(주)알톤스포츠,123750,11-Dec,2.54
1236,(주)알파홀딩스,117670,11-Dec,25.8
1245,(주)앤씨앤,92600,11-Dec,48.17
1254,(주)에스디시스템,121890,11-Dec,11111111.11
1263,(주)에스앤더블류,103230,11-Dec,0.91
